m4l_gev,channel,m_z1_gev,m_z2_gev,source_record,run,luminosityBlock,event
120.285,4mu,93.769,19.778,30522,279823,364,546106084
120.287,4mu,73.692,44.109,30555,283885,1345,2344464786
120.323,4mu,71.137,33.478,30522,279694,1426,2641866607
120.359,4mu,90.543,18.521,30522,278969,119,107231486
120.480,2e2mu,88.839,22.525,30554,282800,24,35093904
120.488,4mu,89.109,16.984,30555,283884,746,942650125
120.581,4mu,90.289,20.562,30522,280188,202,359105258
120.599,4mu,92.848,16.333,30522,279760,167,196959178
120.600,4mu,90.313,15.958,30522,280015,527,982907211
120.612,4mu,89.038,26.986,30522,280249,1337,2356140522
120.712,2e2mu,85.900,13.998,30521,279588,759,1294103090
120.818,2e2mu,96.604,12.051,30521,280191,776,1442548625
120.845,4mu,86.064,33.488,30555,281707,890,1428240561
120.922,4mu,88.871,17.430,30522,279716,347,646151836
121.080,4mu,75.996,33.468,30555,283877,1331,2313473988
121.087,4mu,89.273,21.984,30555,283270,329,476062833
121.189,4e,72.719,46.669,30554,283408,1112,1895984888
121.195,4mu,92.504,21.938,30522,279766,363,679970631
121.226,4mu,76.717,42.523,30555,281707,235,232126943
121.326,4mu,83.507,14.183,30555,282918,22,39621812
121.339,4mu,94.202,18.559,30522,279975,102,81214746
121.381,4mu,93.253,18.094,30555,282842,57,106265749
121.389,2e2mu,89.684,19.556,30554,281693,445,835778911
121.559,2e2mu,92.753,12.782,30555,284035,280,469647009
121.597,4mu,85.529,25.159,30555,282735,1779,3287121342
121.742,4mu,89.646,13.552,30555,281693,299,568593086
121.948,4mu,91.927,19.331,30522,279844,263,353915984
121.949,4mu,64.712,25.132,30555,282037,482,879778070
121.962,4mu,88.344,33.509,30522,278820,1465,2663714224
121.976,4mu,77.670,39.842,30522,280191,240,439215253
121.984,4e,85.749,25.572,30521,279841,1891,3282231397
122.073,4mu,75.334,30.904,30522,280364,593,1096499426
122.188,2e2mu,65.282,36.960,30521,278875,470,836646797
122.279,4mu,70.165,37.397,30555,283876,70,36797150
122.284,4mu,90.295,24.270,30555,282807,195,386674781
122.450,2e2mu,88.055,26.236,30554,283308,828,1540808303
122.461,4mu,88.611,15.659,30522,279694,268,481801445
122.640,2e2mu,85.940,34.199,30554,283043,171,309145187
122.687,4mu,91.235,28.678,30555,281797,1514,2571021056
122.726,4mu,90.829,14.830,30522,279887,97,47316782
122.739,4mu,91.989,19.982,30555,283865,471,805669442
122.800,2e2mu,60.595,28.678,30521,278923,147,203074351
122.830,2e2mu,93.762,15.578,30561,284037,73,140456802
122.838,4mu,96.949,16.268,30522,279931,2411,4157399730
122.848,2e2mu,90.285,17.650,30554,283946,254,301204498
122.871,4mu,82.576,27.213,30555,283946,443,608359692
123.215,4mu,92.342,15.649,30522,279975,148,162922447
123.273,4mu,75.422,43.657,30555,281976,757,1338656829
123.291,4e,84.465,26.370,30521,280249,581,1092809122
123.344,4mu,92.477,19.282,30522,278975,187,314589162
123.488,4mu,92.617,12.835,30522,280017,581,999498561
123.608,4mu,93.330,22.928,30522,279841,1125,1941096546
123.640,4mu,91.819,18.811,30522,279841,1795,3129185783
123.706,4mu,93.687,23.620,30555,283408,777,1308873210
123.708,2e2mu,80.877,29.555,30521,279667,78,34785118
123.733,2e2mu,105.791,13.795,30554,282807,69,137217061
123.852,4mu,88.471,25.239,30555,283876,533,821671538
123.868,2e2mu,87.392,19.073,30521,279931,306,426389337
123.882,2e2mu,88.023,14.759,30521,278874,54,115407004
123.953,4mu,90.288,22.099,30555,283885,1688,2947488730
123.960,4mu,88.754,30.710,30555,283307,108,199438691
123.962,4mu,75.074,45.940,30521,278923,140,189930040
123.975,4mu,90.670,18.135,30522,280015,506,945085128
123.983,4mu,62.107,36.581,30555,283059,431,814325023
123.986,4mu,94.738,16.817,30555,281797,847,1321029701
124.038,4mu,71.139,50.518,30522,279931,3019,5123592417
124.075,4mu,88.293,22.780,30555,283059,171,319684904
124.111,2e2mu,43.313,22.917,30554,284006,90,39067145
124.142,4mu,88.803,32.433,30522,280327,50,21398512
124.151,2e2mu,90.004,19.622,30554,283964,76,129762939
124.176,4mu,96.783,23.333,30555,283478,890,1396229067
124.216,4mu,90.472,26.788,30555,281693,192,354336065
124.237,4mu,92.235,13.564,30555,281727,1002,1702439141
124.272,2e2mu,86.238,25.091,30554,283408,468,769373142
124.287,4mu,79.259,31.047,30555,283408,56,82738265
124.322,2e2mu,79.484,27.772,30521,279931,1064,1826222506
124.440,2e2mu,82.351,14.711,30555,281797,476,632528644
124.471,2e2mu,90.638,17.444,30555,284006,213,253449759
124.486,4mu,71.589,50.490,30522,279841,1177,2029486783
124.511,4mu,87.684,12.722,30555,283884,534,583621091
124.523,4mu,93.265,15.597,30555,282733,46,81908408
124.634,2e2mu,90.948,14.413,30521,279654,555,1051138737
124.637,4mu,92.227,31.641,30555,282037,173,328600245
124.666,4mu,86.171,16.453,30555,283359,254,376394509
124.700,4mu,73.668,29.561,30555,283270,1675,2874306324
124.818,2e2mu,82.944,33.825,30521,279975,525,840091856
124.826,4mu,43.299,40.364,30555,281975,184,316544989
124.879,4mu,90.553,25.308,30522,278969,679,1108529870
124.982,2e2mu,87.805,35.403,30554,282807,47,89922091
124.988,4mu,85.614,39.237,30555,283270,1703,2920076999
125.004,2e2mu,87.511,36.945,30521,278969,395,597656159
125.098,2e2mu,90.323,17.073,30554,282092,267,310920315
125.201,2e2mu,91.129,22.988,30521,279654,827,1565741924
125.219,2e2mu,90.356,19.218,30521,280249,1357,2395659661
125.221,4mu,90.972,23.362,30522,280330,355,678125664
125.235,4mu,96.777,17.916,30555,283946,169,156972623
125.277,2e2mu,51.802,51.284,30528,278969,268,378844841
125.347,2e2mu,80.338,14.856,30521,279116,141,235774874
125.415,4mu,94.063,28.863,30555,283308,104,189272701
125.427,4mu,92.693,24.856,30522,279931,258,332721101
125.439,2e2mu,90.261,26.275,30554,282800,321,610965211
125.446,4mu,84.771,36.975,30522,278820,413,738271001
125.447,4mu,89.957,28.490,30522,278969,639,1032717265
125.495,4e,93.468,27.565,30521,278820,608,1108631891
125.538,4mu,61.802,51.905,30522,280330,438,825909331
125.552,4mu,86.462,37.262,30555,283270,880,1425031539
125.571,4e,75.394,24.827,30521,279715,382,591325039
125.590,4mu,87.657,34.932,30555,283453,178,208006384
125.702,4mu,83.728,19.394,30522,279667,592,962264350
125.720,4mu,70.389,44.386,30555,283478,436,615190126
125.736,4mu,91.178,32.146,30555,283050,32,44801115
125.738,4mu,92.734,26.868,30555,283884,457,461961358
125.780,4mu,96.337,15.557,30555,283478,225,276135660
125.788,4mu,88.912,19.146,30522,278969,841,1408654761
125.841,4mu,86.683,35.614,30555,281797,2141,3540008334
125.843,2e2mu,51.471,22.302,30561,283408,1767,3067342627
125.851,4mu,91.595,16.943,30555,281641,17,24484383
125.929,2e2mu,91.369,21.719,30521,280007,11,13165572
125.975,4mu,97.097,21.453,30555,283307,146,266738670
125.975,4e,93.183,22.542,30521,278820,165,286717419
125.978,4mu,83.907,27.444,30555,283059,147,272021935
125.998,4mu,69.134,53.224,30555,282734,149,302790862
126.057,2e2mu,89.549,32.544,30554,283306,214,388471539
126.106,4mu,102.177,19.617,30555,283270,366,540344626
126.221,4mu,89.432,17.492,30522,279975,941,1608505683
126.251,2e2mu,93.650,21.557,30521,279767,630,1058178234
126.274,4mu,89.652,29.028,30522,278820,393,702037872
